	
380	0.0322
385	0.0402
390	0.0500
395	0.0583
400	0.0954
405	0.4538
410	0.1052
415	0.1012
420	0.1128
425	0.1248
430	0.1365
435	1.0000
440	0.3293
445	0.1680
450	0.1772
455	0.1849
460	0.1917
465	0.1966
470	0.1999
475	0.2018
480	0.2021
485	0.2012
490	0.2012
495	0.1969
500	0.1926
505	0.1901
510	0.1898
515	0.1932
520	0.2024
525	0.2183
530	0.2435
535	0.2781
540	0.3217
545	0.7734
550	0.5354
555	0.4793
560	0.5281
565	0.5682
570	0.5958
575	0.6737
580	0.7056
585	0.5952
590	0.5692
595	0.5342
600	0.4934
605	0.4489
610	0.4033
615	0.3582
620	0.3143
625	0.2745
630	0.2374
635	0.2052
640	0.1751
645	0.1493
650	0.1276
655	0.1089
660	0.0926
665	0.0788
670	0.0675
675	0.0573
680	0.0491
685	0.0420
690	0.0396
695	0.0322
700	0.0279
705	0.0248
710	0.0218
715	0.0187
720	0.0166
725	0.0147
730	0.0135
735	0.0132
740	0.0123
745	0.0113
750	0.0117
755	0.0107
760	0.0120
765	0.0126
770	0.0101
775	0.0080
780	0.0064
